id,host_id,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,has_review,estimated_revenue,minimum_nights_category,price_category,availability_category,month,season
27934,120437,Ratchathewi,13.75983,100.54134,Entire home/apt,1905,3,65,2020-01-06,0.5,2,353,0,1,22860,Pendek (1-7 hari),Tinggi,Tinggi (>300 hari),1.0,High Season
27979,120541,Bang Na,13.66818,100.61674,Private room,1316,1,0,,0.0,2,358,0,0,9212,Pendek (1-7 hari),Sedang,Tinggi (>300 hari),,Unknown
28745,123784,Bang Kapi,13.75232,100.62402,Private room,800,60,0,,0.0,1,365,0,0,0,Panjang (>30 hari),Rendah,Tinggi (>300 hari),,Unknown
35780,153730,Din Daeng,13.78823,100.57256,Private room,1286,7,2,2022-04-01,0.03,1,323,1,1,54012,Pendek (1-7 hari),Sedang,Tinggi (>300 hari),4.0,Mid Season
941865,610315,Bang Kapi,13.76872,100.63338,Private room,1905,1,0,,0.0,3,365,0,0,0,Pendek (1-7 hari),Tinggi,Tinggi (>300 hari),,Unknown
1704776,2129668,Bang Kho laen,13.69757,100.5288,Entire home/apt,1000,250,19,2017-08-03,0.17,41,365,0,1,0,Panjang (>30 hari),Rendah,Tinggi (>300 hari),8.0,Low Season
48736,222005,Rat Burana,13.68556,100.49535,Private room,1558,3,1,2014-02-03,0.01,1,365,0,1,0,Pendek (1-7 hari),Sedang,Tinggi (>300 hari),2.0,High Season
1738669,7045870,Chatu Chak,13.82925,100.56737,Entire home/apt,1461,1,0,,0.0,1,365,0,0,0,Pendek (1-7 hari),Sedang,Tinggi (>300 hari),,Unknown
1744248,9181769,Chatu Chak,13.81693,100.56433,Entire home/apt,1558,3,10,2016-03-29,0.09,1,365,0,1,0,Pendek (1-7 hari),Sedang,Tinggi (>300 hari),3.0,Mid Season
952677,5171292,Khlong San,13.7204,100.50757,Private room,700,2,4,2019-12-27,0.03,10,87,0,1,194600,Pendek (1-7 hari),Rendah,Rendah (<100 hari),12.0,High Season
55681,263049,Bang Rak,13.71934,100.5176,Private room,1150,2,27,2019-01-03,0.19,7,320,0,1,51750,Pendek (1-7 hari),Sedang,Tinggi (>300 hari),1.0,High Season
